Prix,old_price,Type,pays,region,Title,Rating,voyageurs,rooms,bed,bathroom,period_start,period_end
2 907 € ,3 230 €,loft,Espagne,Barcelone,Loft exceptionnel dans un emplacement de premier plan à Barcelone,"4,91 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
606 € ,1 595 €,Chambre,Espagne,El Escorial,"Exotique, Wifi, chaleur, votre salle de bain, parc national.","4,91 ·",1 lit queen size, · Salle de bain privée attenante,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
2 711 € ,4 170 €,appartement,Espagne,Madrid,Malaisie: Appartement 2BD incroyable et extrêmement central,"4,85 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
705 € ,1 085 €,Chambre,Espagne,Madrid,Chambre simple dans le logement de l'hôte,"4,93 ·",1 lit simple, · Salle de bain privée attenante,Superhôte, · Hôte depuis 3 ans,31/07/2024,31/08/2024
930 € ,1 860 €,Chambre,Espagne,Madrid,Suite avec salle de bain privée/ Madrid,"4,87 ·",1 lit double, · Salle de bain privée attenante,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
930 € ,1 860 €,Chambre,Espagne,Madrid,Suite avec salle de bain privée/ Madrid,"4,87 ·",1 lit double, · Salle de bain privée attenante,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
2 044 € ,2 271 €,loft,Espagne,Madrid,"🔆Joli loft~ 15' vers le centre-ville 🚇 ~ A/C, WIFI","4,89 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 240 € ,1 550 €,hébergement,Espagne,Gualchos,Louez une maison entre l'Alpujarra et la plage,"4,73 ·",4 voyageurs, · 3 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 643 € ,2 785 €,appartement,Espagne,Algeciras,Appartement confortable entier. Lumière et vue.,"5,0 ·",3 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
651 € ,868 €,Chambre,Espagne,Grenade,Chambre privée avec lit de 160cm,"4,85 ·",1 lit queen size, · Salle de bain partagée,Superhôte, · Hôte depuis 6 ans,31/07/2024,31/08/2024
1 224 € ,2 040 €,loft,Espagne,Grenade,"Rincon de Luz, Studio Apt. Terrasse privée Grenade","4,84 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
632 € ,916 €,Chambre,Espagne,San Juan de Aznalfarache,3. Grande chambre proche du centre-ville (15 min métro),"4,86 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 7 ans,31/07/2024,31/08/2024
2 065 € ,2 294 €,appartement en résidence,Espagne,Calldetenes,appartement calme avec terrasse,"4,88 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 112 € ,2 575 €,appartement,Espagne,Madrid,Magnifique appartement à Chambérí (DONOSO),"4,88 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
670 € ,837 €,Chambre,Espagne,La Corogne,Chambre double + terrasse privée + plage à proximité,"4,82 ·",1 chambre, · Salle de bain partagée,Superhôte, · Hôte depuis 9 ans,31/07/2024,31/08/2024
2 232 € ,2 790 €,appartement,Espagne,Madrid,Appartement charmant à Madrid,"4,50 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 684 € ,2 054 €,appartement,Espagne,Madrid,Appartement à Atocha - Madrid,"4,88 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 730 € ,4 550 €,hébergement,Espagne,O Barco,Barco de Valdeorras de luxe,"4,85 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 616 € ,3 270 €,appartement,Espagne,Madrid,Loft de luxe dans la rue Almagro,"4,74 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
3 145 € ,7 670 €,appartement,Espagne,Madrid,w * | Moderne 1 chambre au Palacio Real,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 991 € ,2 342 €,appartement,Espagne,Madrid,Appartement de charme à Madrid,"4,89 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 651 € ,2 945 €,appartement,Espagne,Madrid,Superbe appartement flambant neuf - Apt. Et,"5,0 ·",4 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 958 € ,2 175 €,appartement,Espagne,Madrid,Appartement élégant et chaleureux au cœur de Madrid,"4,83 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 170 € ,4 340 €,appartement,Espagne,Madrid,Appartement incroyable à deux pas de Gran Via ! 45,"4,60 ·",4 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 725 € ,3 195 €,appartement,Espagne,Madrid,Superbe design et nouveau appartement à Malasaña,"4,87 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
3 021 € ,4 082 €,appartement en résidence,Espagne,Estepona,Estepona Sea View Apartment,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 931 € ,2 782 €,appartement,Espagne,Madrid,APPARTEMENT DESIGN EN CENTRE-VILLE AVEC PATIO,"4,62 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 209 € ,2 945 €,appartement,Espagne,Madrid,Appartement 1BR chic et élégant | CENTRE,"4,85 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 166 € ,1 457 €,Tiny house,Espagne,Azuqueca de Henares,"Studio de 12,5 m²","4,75 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
830 € ,1 037 €,Chambre,Espagne,Sevilla la Nueva,Chambre spacieuse près de l'Université européenne,"5,0 ·",1 chambre, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
3 456 € ,4 320 €,appartement,Espagne,Madrid,Location confortable de 3 chambres à coucher à Malasana,"4,71 ·",6 voyageurs, · 3 chambres, · 4 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 328 € ,2 839 €,appartement en résidence,Espagne,Madrid,Studio lumineux et spacieux Gran Via / Opéra,"5,0 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 283 € ,3 044 €,appartement,Espagne,Madrid,Loft élégant avec terrasse dans le quartier artistique de Madrid,"5,0 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 103 € ,2 337 €,appartement,Espagne,Madrid,Appartement élégant exclusif IE Business School,"5,0 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 459 € ,1 824 €,appartement,Espagne,Bormujos,Appartement avec piscine 10 min de Séville. Parking,"4,53 ·",3 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
3 333 € ,6 665 €,appartement,Espagne,Palma de Majorque,"Propriété de luxe, ville ancienne à Palma","4,93 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 562 € ,3 470 €,appartement,Espagne,Madrid,Appartement complet avec place de parking gratuite !,"4,80 ·",4 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
453 € ,620 €,Chambre,Espagne,Miguelturra,"Maison chaleureuse en développement, parking gratuit.","5,0 ·",2 lits simples, · Salle de bain partagée,Superhôte, · Hôte depuis 2 ans,31/07/2024,31/08/2024
606 € ,713 €,Chambre,Espagne,Espinardo,3 Chambre double à quelques pas de l'UMU.,"4,86 ·",1 lit queen size, · Salle de bain partagée,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
744 € ,930 €,Chambre,Espagne,Madrid,Chambre simple à 20 minutes de l'aéroport,"4,60 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 2 ans,31/07/2024,31/08/2024
1 968 € ,3 280 €,appartement en résidence,Espagne,Madrid,"Appartement spacieux, avec parking privé et métro à 1 min.","4,80 ·",6 voyageurs, · 2 chambres, · 4 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 289 € ,2 865 €,Chambre,Espagne,Madrid,Vue sur le jardin avec style ; Salle de bain privée ; Près de l'IE,"4,93 ·",1 lit queen size, · Salle de bain privée attenante,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
741 € ,926 €,Chambre,Espagne,Madrid,"Chambre simple, à l'étage neuf et lumineux","4,96 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 3 ans,31/07/2024,31/08/2024
1 184 € ,2 367 €,appartement,Espagne,Plasencia,Puerta Trujillo Bajo Appartement de Tourisme,"4,82 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
868 € ,1 085 €,Chambre,Espagne,Madrid,Chambre avec une salle d'eau privée.,"4,90 ·",1 lit double, · Salle de bain privée attenante,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
1 149 € ,2 945 €,appartement,Espagne,Dílar,"Spacieux, avec vue sur la Sierra. Dilar. Grenade. Ap3","4,66 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
816 € ,1 020 €,Chambre,Espagne,Grenade,Chambre à l'Albaycin,"4,87 ·",2 lits simples, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
587 € ,691 €,Chambre,Espagne,Espinardo,1 Chambre à quelques pas de l'UMU.,"4,81 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
521 € ,744 €,résidence de tourisme,Espagne,San Lorenzo de El Escorial,Chambre Sunset,"4,79 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain partagée,31/07/2024,31/08/2024
1 469 € ,3 193 €,Chambre,Espagne,Barcelone,Belle chambre centrale dans l'Eixample,"4,93 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
597 € ,1 085 €,Chambre,Espagne,Camarma de Esteruelas,Chambre dans Penthouse rustique avec salle de bain privée,"4,93 ·",1 lit queen size, · Salle de bain privée attenante,Superhôte, · Hôte depuis 8 ans,31/07/2024,31/08/2024
605 € ,806 €,Chambre,Espagne,Grenade,Chambre privée avec balcon lumineux,"4,76 ·",1 lit queen size, · Salle de bain partagée,Superhôte, · Hôte depuis 6 ans,31/07/2024,31/08/2024
1 587 € ,3 173 €,hébergement,Espagne,Grenade,Loft de luxe de l'Alhambra,"4,71 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
515 € ,793 €,Chambre,Espagne,Murcie,Chambre rénovée récemment zone Université,"4,83 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 4 ans,31/07/2024,31/08/2024
1 130 € ,1 949 €,appartement,Espagne,León,3A-Guzmanes,"4,75 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 135 € ,1 860 €,résidence de tourisme,Espagne,Grenade,Centre historique de charme,"4,77 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 519 € ,1 899 €,appartement,Espagne,Madrid,New Loft I P.Comillas M.Vadillo,"4,33 ·",3 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 375 € ,1 657 €,appartement,Espagne,Cómpeta,Studio ensoleillé avec toit-terrasse à la Snakes 'House,"4,67 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
620 € ,775 €,Chambre,Belgique,Bruxelles,Chambre,"4,86 ·",1 lit, · Salle de bain partagée,Superhôte, · Hôte depuis 10 ans,31/07/2024,31/08/2024
774 € ,2 150 €,loft,Belgique,Aywaille,Studio lumineux avec SDB privée et cuisine équipée,"4,59 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
918 € ,2 415 €,appartement,Belgique,Liège,"Studio 'La Meuse', dans une nouvelle construction","4,94 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
632 € ,1 240 €,Chambre,Belgique,Wavre,Linda 's bed and breakfast,"5,0 ·",1 lit double, · Salle de bain privée,Superhôte, · Hôte depuis 1 an,31/07/2024,31/08/2024
818 € ,1 740 €,loft,Belgique,Bassenge,Studio entre Liège - Maastricht,"4,82 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 3 ans,31/07/2024,31/08/2024
1 091 € ,3 410 €,hébergement,Belgique,Cerfontaine,Tienne d'El goëtte,"5,0 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
818 € ,1 023 €,Chambre,Belgique,Anvers,Chambre spacieuse à côté de la gare centrale d'Anvers,"4,88 ·",1 lit simple, · Salle de bain partagée,Superhôte, · Hôte depuis 5 ans,31/07/2024,31/08/2024
967 € ,2 418 €,maison d'hôtes,Belgique,Moerbeke,Studio au calme situé dans un centre,"4,90 ·",3 voyageurs, · Studio, · 2 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 370 € ,4 030 €,appartement,Belgique,Esneux,Apparemment cosy 2 personnes,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 596 € ,2 280 €,appartement,Belgique,Etterbeek,Application moderne au rez-de-chaussée 1BR dans le quartier de l'UE,"4,81 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 204 € ,1 720 €,appartement,Belgique,Grez-Doiceau,"Appt 1ch 40m², proche LLN/ GSK/ IBA/ UCLouvain","4,77 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 285 € ,2 570 €,appartement en résidence,Belgique,Anvers,Appartement sur le toit lumineux et confortable à Anvers-Nord,"4,93 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 027 € ,2 283 €,suite,Belgique,Tournai,L'annexe Rumilies,"4,81 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 550 € ,3 100 €,hébergement,Belgique,Graven,Adorable maisonnette dans un cadre verdoyant,"4,92 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 027 € ,2 283 €,suite,Belgique,Tournai,L'annexe Rumilies,"4,81 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 283 € ,2 139 €,maison d'hôtes,Belgique,Bertem,Studio calme à la campagne avec un bon wifi.,"4,88 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
1 133 € ,2 060 €,appartement,Belgique,Walhain,Charmant triplex- 1 chambre et 1 parking.,"5,0 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 209 € ,2 015 €,loft,Belgique,Mont-Saint-Guibert,Petit Studio Cosy,"4,90 ·",2 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
922 € ,1 153 €,Chambre,Belgique,Kortrijk,Chambre avec salle de bain privée dans le centre de Kortrijk,"4,91 ·",1 lit queen size, · Salle de bain privée,Superhôte, · Hôte depuis 1 an,31/07/2024,31/08/2024
817 € ,1 151 €,appartement,Belgique,Anvers,STUDIO confortable privé.,"4,60 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
